Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
CARS24,retail,Series A to Series H,200000000.0,Haryana,2020,Other
Astrogate Labs,spacetech,unknown,111909478.7413793,Bangalore,2020,Technology
Power Gummies,healthtech,Later Stage,111909478.7413793,New Delhi,2020,Technology
Cityflo,transportation,Series A to Series H,7000000.0,Mumbai,2020,Autommotive $ Transportation
AlgoBulls,trading platform,unknown,200000.0,Mumbai,2020,Other
Credgenics,fintech,Early Stage,3000000.0,Gurugram,2020,Technology
Inntot,tech company,unknown,111909478.7413793,Kerala,2020,Technology
Ensuredit,fintech,Early Stage,300000.0,Gurugram,2020,Technology
Shipsy,ai company,Series A to Series H,6000000.0,Gurugram,2020,Other
ERPNext,tech company,unknown,1000000.0,Mumbai,2020,Technology
LightSpeedAI,photonics startup,unknown,111909478.7413793,Bangalore,2020,Other
Grip Invest,fintech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Unacademy,edtech,unknown,111909478.7413793,Bangalore,2020,Technology
Yellow Classes,edtech,Early Stage,1300000.0,Gurugram,2020,Technology
Plum,healthtech,unknown,4100000.0,Bangalore,2020,Technology
STAGE,entertainment,unknown,1000000.0,Indore,2020,Other
Nykaa,cosmetics,unknown,111909478.7413793,Mumbai,2020,Other
Kaagaz Scanner,scanning app,unknown,575000.0,unknown,2020,Other
NIRA,fintech,unknown,1000000.0,Bangalore,2020,Technology
Prolixr,skincare startup,Early Stage,111909478.7413793,Gurugram,2020,Other
Byju's,edtech,unknown,200000000.0,Bangalore,2020,Technology
DaMENSCH,e-commerce,unknown,6000000.0,Bangalore,2020,E-Commerce & Marketplace
Country Delight,food and beverages,Series A to Series H,25000000.0,Haryana,2020,Food & Agriculture
SignalX,ai startup,Early Stage,800000.0,Hyderabad,2020,Other
Lancify,edtech,unknown,300000.0,Bangalore,2020,Technology
Krimanshi,biotechnology company,Early Stage,600000.0,Jodhpur,2020,Technology
Instoried,ai startup,Early Stage,1000000.0,Bangalore,2020,Other
PlayerzPot,gaming startup,Series A to Series H,3000000.0,Mumbai,2020,Other
Instamojo,fintech,unknown,111909478.7413793,Bangalore,2020,Technology
Turtlemint,healthtech,unknown,30000000.0,Mumbai,2020,Technology
Arata,e-commerce,Early Stage,1000000.0,New Delhi,2020,E-Commerce & Marketplace
MPL,gaming startup,unknown,5000000.0,Bangalore,2020,Other
True Balance,fintech,unknown,28000000.0,Gurugram,2020,Technology
Thrive,foodtech,Early Stage,111909478.7413793,Mumbai,2020,Technology
Kitchens Centre,proptech,Early Stage,111909478.7413793,New Delhi,2020,Technology
Prescribe,healthtech,unknown,100000.0,Chennai,2020,Technology
Nepra,cleantech,Series A to Series H,18000000.0,Ahmedabad,2020,Technology
inFeedo,saas startup,unknown,3200000.0,Gurugram,2020,Other
Shilpa Sciences,healthtech,Early Stage,111909478.7413793,Bangalore,2020,Technology
Arzooo,tech startup,unknown,111909478.7413793,Bangalore,2020,Technology
MindTickle,saas platform,Later Stage,100000000.0,Pune,2020,Other
Slice,fintech,Later Stage,5000000.0,Bangalore,2020,Technology
Rapawalk,e-commerce,Early Stage,300000.0,Bangalore,2020,E-Commerce & Marketplace
Oga Fit's,fitness startup,Early Stage,111909478.7413793,Bangalore,2020,Other
LAVAL,cosmetics,Early Stage,111909478.7413793,Bangalore,2020,Other
Stride Ventures,venture capitalist,unknown,80000000.0,New Delhi,2020,Other
BlackSoil,fintech,unknown,10000000.0,Mumbai,2020,Technology
Biocon,healthcare,unknown,15000000.0,Bangalore,2020,Healthcare
Clientjoy,saas startup,Early Stage,800000.0,Gujarat,2020,Other
Xpressbees,e-commerce,unknown,100000000.0,Pune,2020,E-Commerce & Marketplace
GalaxyCard,fintech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Wellness Forever,healthtech,unknown,100000000.0,Mumbai,2020,Technology
MoooFarm,agritech,Early Stage,500000.0,Gurugram,2020,Technology
BitClass,paas startup,Early Stage,2000000.0,Bangalore,2020,Other
Gonuts,entertainment,Early Stage,400000.0,Mumbai,2020,Other
Uolo,edtech,Early Stage,2000000.0,Bangalore,2020,Technology
Kirana King,retail,Early Stage,900000.0,Jaipur,2020,Other
Jade Forest,beverages,Early Stage,250000.0,Delhi,2020,Food & Agriculture
iKure,healthtech,unknown,111909478.7413793,Kolkata,2020,Technology
FrontRow,edtech,Early Stage,3200000.0,Bangalore,2020,Technology
Reliance Retail,e-commerce,unknown,10000000.0,Mumbai,2020,E-Commerce & Marketplace
TUBBR,social media,unknown,111909478.7413793,Frisco,2020,Other
Ather Energy,automobiles,Series A to Series H,35000000.0,Bangalore,2020,Autommotive $ Transportation
Routematic,saas startup,unknown,2000000.0,Bangalore,2020,Other
LivFin,fintech,unknown,4700000.0,New Delhi,2020,Technology
Universal Sportsbiz Pvt Ltd,fashion startup,unknown,111909478.7413793,Bangalore,2020,Other
Lattu Kids,edtech,unknown,111909478.7413793,Mumbai,2020,Technology
Eggoz,food & bevarages,Early Stage,1500000.0,Indore,2020,Food & Agriculture
Steradian Semiconductors,deeptech,unknown,111909478.7413793,Bangalore,2020,Technology
CHARGE+ZONE,ev startup,Early Stage,3000000.0,Gujarat,2020,Other
Stones2milestones,edtech,Later Stage,2000000.0,Gurugram,2020,Technology
Udacity,edtech,Later Stage,75000000.0,California,2020,Technology
AjnaLens,ar/vr startup,Later Stage,1000000.0,Thane,2020,Other
Gully Network,e-commerce,Early Stage,1200000.0,Bangalore,2020,E-Commerce & Marketplace
TurboHire,recruitment startup,Early Stage,1000000.0,Hyderabad,2020,Other
Traya,healthtech,Early Stage,111909478.7413793,Mumbai,2020,Technology
Charcoal Eats,qsr startup,unknown,2000000.0,Mumbai,2020,Other
Mitron TV,video platform,unknown,111909478.7413793,Bangalore,2020,Other
Svami,food & bevarages,unknown,800000.0,Mumbai,2020,Food & Agriculture
Dhurnia,edtech,unknown,100000.0,Dhingsara,2020,Technology
Expertrons,edtech,unknown,111909478.7413793,Mumbai,2020,Technology
Leena AI,ai startup,unknown,8000000.0,New York,2020,Other
Bizlog,logistics,unknown,1000000.0,Bangalore,2020,Autommotive $ Transportation
Tamasha.live,gaming,unknown,300000.0,Mumbai,2020,Other
Fedo,ai startup,unknown,1000000.0,Bangalore,2020,Other
FabHotels,hospitality,unknown,1000000.0,Gurugram,2020,Other
Freshokartz,agritech,Early Stage,1000000.0,Jaipur,2020,Technology
FlexiLoans,fintech,Later Stage,6000000.0,Mumbai,2020,Technology
Agrix,agritech,unknown,111909478.7413793,Patna,2020,Technology
BharatAgri,agritech,Early Stage,111909478.7413793,Pune,2020,Technology
FreshtoHome,e-commerce,Series A to Series H,121000000.0,Bangalore,2020,E-Commerce & Marketplace
Credable,fintech,unknown,4500000.0,Mumbai,2020,Technology
Railofy,transportation,Early Stage,5000000.0,Mumbai,2020,Autommotive $ Transportation
Finova Capital,fintech,unknown,55000000.0,Jaipur,2020,Technology
Teachmint,edtech,Early Stage,3500000.0,Bangalore,2020,Technology
Peel-Works,e-commerce,unknown,3000000.0,Mumbai,2020,E-Commerce & Marketplace
Janani,fertility tech,Early Stage,200000.0,Bangalore,2020,Technology
Credgenics,fintech,Early Stage,3300000.0,Gurugram,2020,Technology
Finelistings,luxury car startup,unknown,111909478.7413793,New Delhi,2020,Other
Wellversed,healthcare,Early Stage,111909478.7413793,New Delhi,2020,Healthcare
Jumbotail,e-commerce,Series A to Series H,11000000.0,Bangalore,2020,E-Commerce & Marketplace
Winzo,gaming startup,unknown,2000000.0,New Delhi,2020,Other
mCaffeine,cosmetics,Series A to Series H,5000000.0,Mumbai,2020,Other
Pocket FM,fm,Series A to Series H,5000000.0,Bangalore,2020,Other
Snackible,healthcare,Later Stage,111909478.7413793,Mumbai,2020,Healthcare
FreshtoHome,e-commerce,unknown,16000000.0,Bangalore,2020,E-Commerce & Marketplace
Jumbotail,retail,Series A to Series H,11000000.0,Bangalore,2020,Other
Nykaa,e-commerce,unknown,111909478.7413793,Mumbai,2020,E-Commerce & Marketplace
TagZ Foods,food,unknown,111909478.7413793,Bangalore,2020,Food & Agriculture
Genius Teacher,edtech,unknown,2000000.0,Mumbai,2020,Technology
Krimanshi Feeds,nutrition sector,unknown,500000.0,Jodhpur,2020,Other
Origo,agritech,Later Stage,4000000.0,Gurugram,2020,Technology
GetVantage,fintech,Early Stage,5000000.0,Mumbai,2020,Technology
Betterplace,tech platform,Series A to Series H,10000000.0,Bangalore,2020,Technology
Biddano,healthcare,Early Stage,600000.0,Mumbai,2020,Healthcare
InVideo,video,Series A to Series H,15000000.0,Mumbai,2020,Other
Arzooo,retail tech,Series A to Series H,7500000.0,Bangalore,2020,Technology
Hubilo,tech company,Early Stage,4500000.0,San Francisco,2020,Technology
BASIC Home Loan,fintech,Early Stage,5000000.0,Gurugram,2020,Technology
Ketos,ai startup,unknown,18000000.0,San Francisco,2020,Other
SUGAR cosmetics,cosmetics,Later Stage,2000000.0,Mumbai,2020,Other
Signzy,fintech,unknown,5400000.0,Bangalore,2020,Technology
Ahaguru,edtech,Series A to Series H,111909478.7413793,Chennai,2020,Technology
Tekion,ai startup,Series A to Series H,150000000.0,San Ramon,2020,Other
Brighteye Ventures,edtech,unknown,5400000.0,Paris,2020,Technology
EzeRx,medtech,Early Stage,200000.0,Kolkata,2020,Technology
VitalTech,heathtech,Early Stage,3000000.0,Plano,2020,Technology
Ultraviolette Automotive,automobiles,Series A to Series H,4000000.0,Bangalore,2020,Autommotive $ Transportation
Tring,social media,unknown,111909478.7413793,Mumbai,2020,Other
Rare Planet,retail startup,Early Stage,400000.0,Kolkata,2020,Other
GoodGamer,gaming,Early Stage,2500000.0,Bangalore,2020,Other
InnAccel,medtech,Early Stage,1500000.0,Bangalore,2020,Technology
Tiliter,retail,unknown,7500000.0,Sydney,2020,Other
Slintel,sles and marketing,unknown,4200000.0,San Francisco Bay Area,2020,E-Commerce & Marketplace
SoOLEGAL,legaltech,unknown,4000000.0,New Delhi,2020,Technology
HobSpace,edtech,Early Stage,200000.0,Mumbai,2020,Technology
Supplynote,saas startup,Early Stage,500000.0,Noida,2020,Other
Hire Me Car,car service,Early Stage,111909478.7413793,Noida,2020,Other
ShopUp,e-commerce,Series A to Series H,22000000.0,Bangaldesh,2020,E-Commerce & Marketplace
Harmonizer India,tech startup,unknown,111909478.7413793,Bangalore,2020,Technology
Zomato,foodtech,unknown,52000000.0,Gurugram,2020,Technology
Dukaan,tech startup,Early Stage,6000000.0,Mumbai,2020,Technology
CredR,bike marketplace,unknown,2000000.0,Mumbai,2020,E-Commerce & Marketplace
Satyukt,agri tech,Early Stage,500000.0,Bangalore,2020,Technology
RACEnergy,automobiles,unknown,111909478.7413793,Hyderabad,2020,Autommotive $ Transportation
TREAD,fitness startup,Early Stage,1100000.0,Bangalore,2020,Other
Anveshan,foodtech,Early Stage,100000.0,Bangalore,2020,Technology
TeaMonk,food & bevarages,Early Stage,900000.0,Bangalore,2020,Food & Agriculture
Fleetx,tech startup,Early Stage,3000000.0,Gurugram,2020,Technology
ReNEWate,real estate,Early Stage,111909478.7413793,Pune,2020,Real Estate $ Property
Tango Eye,saas startup,Early Stage,111909478.7413793,Chennai,2020,Other
Rare Planet,reatil startup,Early Stage,111909478.7413793,Kolkata,2020,Other
Avataa Me,ar platform,Series A to Series H,7000000.0,Bangalore,2020,Other
Arrival,ev startup,unknown,118000000.0,London,2020,Other
Cover Genius,fintech,unknown,15000000.0,Sydney,2020,Technology
Phononic Vibes,deeptech,unknown,2300000.0,Milano,2020,Technology
MikeLegal,legaltech,Early Stage,111909478.7413793,Gurugram,2020,Technology
Clair,fintech,Early Stage,4500000.0,New York,2020,Technology
Gourmet Garden,consumer goods,unknown,111909478.7413793,Palmwoods,2020,Other
Miko,ai startup,Early Stage,3000000.0,Mumbai,2020,Other
Razorpay,fintech,Series A to Series H,100000000.0,Bangalore,2020,Technology
Ninjacart,food industry,unknown,30000000.0,Bangalore,2020,Food & Agriculture
Wow! Momo,food industry,Later Stage,5000000.0,Kolkata,2020,Food & Agriculture
Pepper Content,content marketplace,Series A to Series H,4200000.0,Mumbai,2020,E-Commerce & Marketplace
LIVSPACE,interior design,Later Stage,4000000.0,Bangalore,2020,Other
Acculi Labs,healthcare,Early Stage,600000.0,Bangalore,2020,Healthcare
Your MD,healthcare,unknown,25000000.0,London,2020,Healthcare
Antaios,tech company,unknown,11000000.0,France,2020,Technology
Unnati,agritech,Early Stage,1700000.0,Noida,2020,Technology
Disprz,edtech,Early Stage,1600000.0,Chennai,2020,Technology
Uni,fintech,Early Stage,18500000.0,Mumbai,2020,Technology
Credit Wise Capital,fintech,Early Stage,6000000.0,Mumbai,2020,Technology
Chargebee,saas startup,Series A to Series H,55000000.0,San Francisco Bay Area,2020,Other
Reliance Retail Ventures Ltd,retail,unknown,70000000000.0,Mumbai,2020,Other
Winuall,edtech,unknown,2000000.0,Bangalore,2020,Technology
Genrobotics,ai startup,unknown,300000.0,Trivandrum,2020,Other
Livve,rental space,Early Stage,1500000.0,Cochin,2020,Other
Ergos,agritech,Series A to Series H,5000000.0,Samastipur,2020,Technology
Krishitantra,soil-tech,Early Stage,1000000.0,Hyderabad,2020,Technology
PakkaProfile,recruitment startup,Early Stage,111909478.7413793,Bangalore,2020,Other
Monet Networks,ai startup,Later Stage,500000.0,Irvine,2020,Other
Unocoin,fintech,Series A to Series H,111909478.7413793,Tumkur,2020,Technology
Pesto,edtech,unknown,111909478.7413793,New Delhi,2020,Technology
NirogStreet,ayurveda tech,Early Stage,2000000.0,Gurugram,2020,Technology
Bambrew,packaging solution startup,Early Stage,111909478.7413793,Bangalore,2020,Other
Omnify,saas startup,Early Stage,111909478.7413793,San Francisco Bay Area,2020,Other
Fanball XI,gaming,Early Stage,1000000.0,New Delhi,2020,Other
Treebo Hotels,hospitality,unknown,6000000.0,Bangalore,2020,Other
GPS Renewables,cleantech,Series A to Series H,3000000.0,Bangalore,2020,Technology
Public,social media,unknown,30000000.0,New Delhi,2020,Other
Legal Salah,legaltech,Early Stage,1000000.0,Kolkata,2020,Technology
FanPlay,gaming,Early Stage,111909478.7413793,New Delhi,2020,Other
ECOSTP,sanitation solutions,unknown,19000000.0,Bangalore,2020,Other
Coralogix,saas startup,Series A to Series H,25000000.0,San Francisco,2020,Other
Equiwatt,tech company,unknown,300000.0,Newcastle Upon Tyne,2020,Technology
Reliance Retail Ventures,e-commerce,unknown,800000000.0,Mumbai,2020,E-Commerce & Marketplace
Zhangmen,edtech,unknown,400000000.0,Shanghai,2020,Technology
AgroWave,agritech,unknown,500000.0,Gurugram,2020,Technology
Sapio Analytics,tech company,unknown,150000.0,Mumbai,2020,Technology
Taimei,healthcare,unknown,176000000.0,Jiaxing,2020,Healthcare
Avanse Financial Services,fintech,unknown,15000000.0,Mumbai,2020,Technology
Industry Buying,e-commerce,unknown,15000000.0,New Delhi,2020,E-Commerce & Marketplace
Hopscotch,e-commerce,unknown,25000000.0,Mumbai,2020,E-Commerce & Marketplace
Pristyn Care,healthcare,unknown,11000000.0,Gurugram,2020,Healthcare
WoodenStreet,home design,unknown,1000000.0,Rajastan,2020,Other
ACKO,insuretech,unknown,60000000.0,Mumbai,2020,Technology
Farmers Fresh Zone,agritech,unknown,470000.0,Kochi,2020,Technology
Invento,ai startup,unknown,111909478.7413793,Bangalore,2020,Other
Infurnia,tech startup,unknown,240000.0,Bangalore,2020,Technology
AnalytIQSports's SuperCric,entertainment,unknown,111909478.7413793,Bangalore,2020,Other
Snowflake,tech company,unknown,3000000000.0,California,2020,Technology
GenieTalk,tech company,unknown,750000.0,Indore,2020,Technology
Classplus,edtech,unknown,10000000.0,Noida,2020,Technology
Mobile Premier League,entertainment,unknown,74000000.0,Bangalore,2020,Other
Fourth Partner Energy,solar solution,unknown,16000000.0,Hyderabad,2020,Other
Flipkart,e-commerce,unknown,62000000.0,Bangalore,2020,E-Commerce & Marketplace
Vivriti Capital,fintech,unknown,1000000.0,Chennai,2020,Technology
InsuranceDekho,fintech,unknown,20000000.0,Ludhiana,2020,Technology
BestDoc,healthcare,unknown,2100000.0,Kochi,2020,Healthcare
Byju’s,edtech,unknown,500000000.0,Bangalore,2020,Technology
Melorra,jewellery startup,unknown,12500000.0,Bangalore,2020,Healthcare
Reliance,multinational conglomerate company,unknown,2200000000.0,Mumbai,2020,Other
Inflexor Ventures,fintech,unknown,10000000.0,Mumbai,2020,Technology
Pandorum,deeptech startup,unknown,5060000.0,Bangalore,2020,Technology
SpeakIn,social network,unknown,111909478.7413793,Noida,2020,Other
LetsUp,publication,unknown,111909478.7413793,Mumbai,2020,Other
Newsreach,publication,unknown,111909478.7413793,Gujarat,2020,Other
Dream11,entertainment,unknown,225000000.0,Mumbai,2020,Other
SignalX,saas platform,unknown,750000.0,Hyderabad,2020,Other
JetSynthesys,tech,unknown,40000000.0,Mumbai,2020,Technology
Vesta Space Technology,tech startup,unknown,10000000.0,Pune,2020,Technology
Dozee,healthtech,unknown,1600000.0,Bangalore,2020,Technology
Rebel Foods,food,unknown,50000000.0,Pune,2020,Food & Agriculture
Nykaa,fashion,unknown,24700000.0,Mumbai,2020,Other
Ketto,finance,unknown,7700000.0,Mumbai,2020,Finance $ Banking
Suryoday,finance,unknown,800000.0,Mumbai,2020,Finance $ Banking
SucSEED,finance,unknown,1300000.0,Hyderabad,2020,Finance $ Banking
Unacademy,edtech,unknown,150000000.0,Bangalore,2020,Technology
Strata,real estate,unknown,19067328.0,Bangalore,2020,Real Estate $ Property
3one4 Capital,venture capital,unknown,100000000.0,Bangalore,2020,Other
WE-Hub,entreprenurship,unknown,111909478.7413793,Hyderabad,2020,Other
Zomato,food devlivery,unknown,62000000.0,Haryana,2020,Food & Agriculture
Vicara,tech startup,unknown,111909478.7413793,Bangalore,2020,Technology
Gaana,entertainment,unknown,51000000.0,Gurugram,2020,Other
EM3 Agri,agritech,unknown,1000000.0,Noida,2020,Technology
Plum,cosmetics,unknown,115000.0,Thane,2020,Other
Odwen,warehouse,unknown,54000.0,Noida,2020,Other
Fasal,agritech,unknown,20000.0,Bangalore,2020,Technology
Trukky,logistics,unknown,111909478.7413793,Ahmedabad,2020,Autommotive $ Transportation
BankBazaar,online financial service,unknown,9000000.0,Chennai,2020,Other
Specsmakers,eyeglasses,unknown,3000000.0,Chennai,2020,Other
Grinntech,battery design,unknown,2000000.0,Dehradun,2020,Other
CreditMantri,online credit management startup,unknown,803146.0,Chennai,2020,Finance $ Banking
Chai Waale,beverage,unknown,238000.0,Chennai,2020,Food & Agriculture
Deepsync,tech startup,unknown,300000.0,Bangalore,2020,Technology
ConnectedH,healthcare,unknown,111909478.7413793,Gurgaon,2020,Healthcare
Reliance Retail,e-commerce,unknown,10220000.0,Mumbai,2020,E-Commerce & Marketplace
QShala,edtech,unknown,300000.0,Bangalore,2020,Technology
Pitstop,car service,unknown,1020000.0,Bangalore,2020,Other
Zomato,food devlivery,unknown,100000000.0,Haryana,2020,Food & Agriculture
Customfit ai,saas startup,unknown,111909478.7413793,Bangalore,2020,Other
Nirmata,tech,unknown,111909478.7413793,San Franciscao,2020,Technology
Hire Me Car,traveltech,Early Stage,111909478.7413793,Noida,2020,Technology
Oga Fit,fitness startup,Early Stage,111909478.7413793,Bangalore,2020,Other
ShipsKart,e-commerce,Early Stage,200000.0,New Delhi,2020,E-Commerce & Marketplace
SquadStack,tech company,Series A to Series H,5000000.0,San Francisco,2020,Technology
Financepeer,edtech,Early Stage,3000000.0,Mumbai,2020,Technology
Cashify,e-commerce,Later Stage,10000000.0,Gurugram,2020,E-Commerce & Marketplace
Etrio,ev startup,Series A to Series H,3000000.0,Hyderabad,2020,Other
Codeyoung,edtech,Early Stage,111909478.7413793,Bangalore,2020,Technology
StayQrious,edtech,Early Stage,2000000.0,Bangalore,2020,Technology
Sunstone Eduversity,edtech,Series A to Series H,3000000.0,Gurugram,2020,Technology
Infilect,saas startup,Early Stage,1500000.0,Bangalore,2020,Other
MobiGarage,e-commerce,Early Stage,111909478.7413793,New Delhi,2020,E-Commerce & Marketplace
Samunnati,agriculture,Later Stage,20000000.0,Chennai,2020,Food & Agriculture
WeInnovate Biosolutions,startup laboratory,Early Stage,111909478.7413793,Pune,2020,Other
Yummy Corp,food industry,Series A to Series H,12000000.0,Tangerang,2020,Food & Agriculture
Smallcase,fintech,Series A to Series H,13400000.0,Bangalore,2020,Technology
Clairvolex,tech startup,Later Stage,2000000.0,California,2020,Technology
Assiduus,e-commerce,Series A to Series H,1000000.0,Bangalore,2020,E-Commerce & Marketplace
Brinton,healthtech,Later Stage,1300000.0,California,2020,Technology
AFK Gaming,entertainment,Early Stage,200000.0,Mumbai,2020,Other
Infarm,agritech,Series A to Series H,170000000.0,Berlin,2020,Technology
Zuper,saas startup,Early Stage,1100000.0,Seattle,2020,Other
mCaffeine,personal care startup,Series A to Series H,2900000.0,Mumbai,2020,Other
Origa,fintech,Later Stage,2000000.0,Andheri,2020,Technology
GullyBuy Software,tech startup,Early Stage,543000.0,Pune,2020,Technology
Recordent,fintech,Early Stage,111909478.7413793,Hyderabad,2020,Technology
MPL,entertainment,Series A to Series H,90000000.0,Bangalore,2020,Other
Penny,saas startup,Early Stage,1300000.0,Riyadh,2020,Other
Onsitego,customer service company,Series A to Series H,30000000.0,Mumbai,2020,Other
Precily,saas  startup,Early Stage,111909478.7413793,California,2020,Other
SmartClean,tech startup,Early Stage,3400000.0,Singapore,2020,Technology
ClanConnect,marketing startup,Early Stage,600000.0,Delhi,2020,E-Commerce & Marketplace
Servify,service industry,Series A to Series H,23000000.0,Mumbai,2020,Other
ShareChat,social media,Early Stage,40000000.0,Bangalore,2020,Other
Rephrase.ai,ai,Early Stage,1500000.0,Bangalore,2020,Other
Melorra,jewellery,Later Stage,8090000.0,Bangalore,2020,Healthcare
FabHotels,hospitality,Series A to Series H,1030000.0,Gurugram,2020,Other
EkAnek,tech startup,Later Stage,5040000.0,New Delhi,2020,Technology
Cub McPaws,ar startup,Early Stage,800000.0,Mumbai,2020,Other
Zimyo,hr tech startup,Early Stage,1500000.0,Gurgaon,2020,Technology
PumPumPum,automotive startup,Later Stage,360000.0,Gurgaon,2020,Autommotive $ Transportation
Burgerama,food startup,Early Stage,111909478.7413793,Gurgaon,2020,Food & Agriculture
Moms Co,healthcare,Series A to Series H,8000000.0,Gurgaon,2020,Healthcare
DillyHub,publication,Early Stage,1400000.0,Seoul,2020,Other
FPL Technologies,fintech,Series A to Series H,10000000.0,Pune,2020,Technology
FITTR,fitness startup,Early Stage,2000000.0,Pune,2020,Other
Illumnus,edtech startup,Early Stage,100000.0,Pune,2020,Technology
CashKaro,e-commerce,Series A to Series H,10000000.0,Gurgaon,2020,E-Commerce & Marketplace
Newton School,edtech startup,Early Stage,650000.0,Bangalore,2020,Technology
Airmeet,tech startup,Series A to Series H,12000000.0,Bangalore,2020,Technology
Observe ai,tech,Series A to Series H,54000000.0,San Francisco,2020,Technology
InCred,finance,Later Stage,5000000.0,Mumbai,2020,Finance $ Banking
Toppr,edtech,Series A to Series H,35000000.0,Mumbai,2020,Technology
CarTrade,car trade,Series A to Series H,42500000.0,Mumbai,2020,Other
LEAD School,edttech,Series A to Series H,28000000.0,Mumbai,2020,Technology
Servify,manufacturing,Series A to Series H,11370000.0,Mumbai,2020,Other
Lido Learning,edtech,Series A to Series H,7500000.0,Mumbai,2020,Technology
Apna.co,job portal,Series A to Series H,8000000.0,Bangalore,2020,Other
Quintype Technologies,tech,Series A to Series H,325000.0,Bangalore,2020,Technology
Dunzo,tech,Series A to Series H,28000000.0,Bangalore,2020,Technology
Entropik,ai platform,Series A to Series H,8000000.0,Bangalore,2020,Other
Livspace,home design,Series A to Series H,9000000.0,Bangalore,2020,Other
Ultraviolette Automotive,automation,Series A to Series H,410000.0,Bangalore,2020,Autommotive $ Transportation
WinZO,gaming,Series A to Series H,18000000.0,New Delhi,2020,Other
SenseHawk,solar saas,Series A to Series H,5000000.0,Bangalore,2020,Other
Railofy,wl & rac protection,Early Stage,900000.0,Mumbai,2020,Other
Eloelo,social commerce,Early Stage,450000.0,Bangalore,2020,E-Commerce & Marketplace
Aibono,agritech,Early Stage,2000000.0,Bangalore,2020,Technology
BuildPan,saas startup,Early Stage,500000.0,Indore,2020,Other
Homelane,home interior services,Later Stage,8000000.0,Bangalore,2020,Consulting & Services
MyGlamm,fashion,Series A to Series H,1000000.0,Mumbai,2020,Other
Aviom,finance,Later Stage,682000.0,New Delhi,2020,Finance $ Banking
Flinto,edtech startup,Early Stage,7000000.0,Chennai,2020,Technology
WayCool,agritech startup,Series A to Series H,5060000.0,Chennai,2020,Technology
YAP,api platform,Series A to Series H,4050000.0,Chennai,2020,Other
Big Bang Boom Solutions,deep tech,Series A to Series H,1050000.0,Chennai,2020,Technology
GUVI,edtech startup,Series A to Series H,800000.0,Chennai,2020,Technology
BluSmart,electricity,Early Stage,7000000.0,Gurugram,2020,Other
Cell Propulsion,automotive company,Early Stage,111909478.7413793,Bangalore,2020,Autommotive $ Transportation
MPL,entertainment,Series A to Series H,50000000.0,Bangalore,2020,Other
Spoonshot,fmcg,Early Stage,1000000.0,Bangalore,2020,Other
Pulse,fintech,Early Stage,750000.0,Mumbai,2020,Technology
Groww,fintech,Series A to Series H,30000000.0,Bangalore,2020,Technology
i3 Systems,insurance tech,Early Stage,1050000.0,Mumbai,2020,Technology
SOAL,edtech,Early Stage,1000000.0,Mumbai,2020,Technology
OckyPocky,edtech,Early Stage,400000.0,Gurugram,2020,Technology
Hippo Video,video personalization,Series A to Series H,4000000.0,New York,2020,Other
Hasura,software company,Series A to Series H,25000000.0,San Francisco,2020,Technology
Qapita,fintech,Early Stage,1080000.0,Singapore,2020,Technology
Sunday,fintech,Early Stage,9000000.0,Bangkok,2020,Technology
Gamezop,gaming,Series A to Series H,4300000.0,Gurugram,2020,Other
Phool.co,biomaterial startup,Early Stage,1400000.0,Kanpur,2020,Other
Chiratae Ventures,venture capital,Early Stage,111909478.7413793,Bangalore,2020,Other
MedLife,health,unknown,6800000.0,Bangalore,2020,Healthcare
IDfy,it,Series A to Series H,2110000.0,Mumbai,2020,Other
True Balance,finance,Series A to Series H,111909478.7413793,Gurugram,2020,Finance $ Banking
Bira91,craft beer,unknown,764000.0,New Delhi,2020,Other
Max wholesale,e-commerce,unknown,603000.0,New Delhi,2020,E-Commerce & Marketplace
Craftsvilla,e-commerce,unknown,409000.0,Mumbai,2020,E-Commerce & Marketplace
MechMocha,entertainment,Series A to Series H,292000.0,Bangalore,2020,Other
Mindhouse,healthtech,unknown,286000.0,Gurugram,2020,Technology
DeepSync,ai startup,unknown,136000.0,Chandigarh,2020,Other
Eruditus,education,unknown,111909478.7413793,Mumbai,2020,Other
Gradeup,education,unknown,546000.0,Noida,2020,Other
Tracxn,investment,Series A to Series H,887000.0,Bangalore,2020,Other
Purple Style Labs,fashion,unknown,43000.0,Mumbai,2020,Other
ProPhysio,health,unknown,40900.0,Bangalore,2020,Healthcare
Flickstree,tech,unknown,40900.0,Mumbai,2020,Technology
Settl,traveltech,unknown,111909478.7413793,Gurugram,2020,Technology
Fanspole,entertainment,Early Stage,111909478.7413793,Thane,2020,Other
Sarva,healthcare,unknown,111909478.7413793,Mumbai,2020,Healthcare
Univ.ai,edtech,unknown,111909478.7413793,Bangalore,2020,Technology
PurohitJi,linguistic spiritual,unknown,111909478.7413793,Bangalore,2020,Other
CredoLab,tech,Series A to Series H,7000000.0,Singapore,2020,Technology
Brick&Bolt,construction,Series A to Series H,2200000.0,Bangalore,2020,Other
Grinntech,battery manufacturer,unknown,2000000.0,Chennai,2020,Other
6Degree,fashion,unknown,340000.0,Mumbai,2020,Other
Exprs,nano distribution network,unknown,5660000.0,unknown,2020,Other
